Category Path,Count
Science,1194
Geography -> Science,568
Geography -> Countries -> Geography,402
Science -> Geography,371
Science -> Geography -> Science,364
Everyday life -> Science,332
Geography -> Countries,300
Geography,272
Science -> Geography -> Countries,267
Science -> Geography -> Countries -> History,260
Science -> Countries -> Geography,257
Science -> Geography -> Countries -> Geography,239
Science -> Everyday life,224
Countries -> Geography,203
Science -> IT -> Mathematics -> Citizenship -> Design and Technology,200
History -> Countries -> Geography,178
People -> Countries -> Geography,173
Language and literature -> Countries -> Science,172
Everyday life,154
Everyday life -> Countries -> Geography,153
Language and literature -> Countries -> Geography -> Science,150
Everyday life -> Geography -> Science,147
Science -> Everyday life -> Science,145
People -> Science,137
Countries -> Geography -> Science,131
Science -> Countries -> History,128
Science -> < -> Science,114
Design and Technology -> Science,112
Language and literature -> Everyday life -> Science,112
Science -> Countries,110
Science -> Citizenship -> Design and Technology,109
People -> Geography,104
Science -> Geography -> History,99
Science -> Countries -> Geography -> Countries,98
Everyday life -> Geography -> Countries,95
Geography -> History,94
Geography -> Countries -> History,90
History -> Science,90
Geography -> Countries -> Science,88
Countries -> Geography -> Countries,88
History -> Geography -> Science,87
Everyday life -> Geography,85
History -> Geography,85
Everyday life -> Science -> Everyday life,85
Science -> Countries -> People,84
Countries -> Science,84
Citizenship -> Countries -> Geography,83
History -> Countries,81
Countries,81
History -> Geography -> Countries,80
Design and Technology -> Science -> Everyday life,80
Everyday life -> Countries,79
Science -> History,76
Geography -> Countries -> People,76
Science -> Religion,74
Religion,73
People -> Geography -> Countries -> Geography,73
Everyday life -> Geography -> Countries -> Geography,72
Countries -> Geography -> Countries -> Geography,71
Science -> IT -> Design and Technology,71
Citizenship -> Science,71
Geography -> Countries -> Citizenship,70
History -> Geography -> Countries -> Geography,70
Geography -> Countries -> Geography -> Countries,68
Geography -> Countries -> Everyday life,68
Everyday life -> Countries -> Science,68
Geography -> Religion,67
Science -> Geography -> Countries -> People,67
Language and literature -> Countries -> Geography,67
Science -> Religion -> Language and literature -> Religion -> Countries -> History,67
History,66
Countries -> History,65
Science -> Countries -> Geography -> Countries -> Geography,65
Science -> People -> Countries -> History,64
People -> Geography -> Science,63
Science -> Countries -> Science,60
Religion -> Science,58
Design and Technology -> Countries -> Everyday life -> Science -> Everyday life,58
Geography -> Everyday life -> Science,57
Science -> Countries -> Everyday life,57
Design and Technology -> Countries -> Everyday life,57
Science -> Countries -> History -> People,56
Science -> Language and literature -> Citizenship -> Design and Technology,55
History -> Countries -> History,54
Design and Technology -> Countries -> Geography,54
Everyday life -> Countries -> History,54
Science -> Countries -> Religion,53
People -> Countries -> Geography -> Science,53
People -> Countries,52
Design and Technology -> History -> Everyday life -> Science -> Everyday life,52
Geography -> Science -> Geography,51
Everyday life -> Science -> Geography -> Science,51
Science -> Design and Technology,51
Countries -> Everyday life,51
Geography -> Countries -> Language and literature,51
History -> Countries -> Geography -> Science,50
Geography -> Countries -> Geography -> Countries -> Geography,50
Science -> History -> People,50
Everyday life -> Countries -> Geography -> Science,50
Everyday life -> Countries -> Geography -> Countries,50
People -> Countries -> Geography -> Countries,49
Science -> Countries -> Citizenship,48
Geography -> Countries -> History -> People,48
Geography -> Everyday life,46
People -> Geography -> Countries,46
Science -> Countries -> Citizenship -> People,46
History -> Countries -> Science,45
Science -> IT,45
People -> Countries -> History,45
People -> Countries -> Science,44
IT -> Science,44
Geography -> Citizenship -> Science,44
Design and Technology -> Science -> Everyday life -> Science -> Everyday life,43
Geography -> Countries -> Geography -> Science,42
Everyday life -> Countries -> Everyday life,42
Science -> History -> Geography,40
Everyday life -> Countries -> People,40
Design and Technology -> Geography -> Science,40
Science -> Citizenship,40
Design and Technology -> Geography -> Countries -> Geography,40
Science -> Geography -> Everyday life,40
People -> History,39
Citizenship -> Countries,39
Science -> Language and literature -> Countries -> Geography,38
Geography -> Science -> Everyday life,38
Everyday life -> Geography -> Everyday life -> Citizenship -> Design and Technology,38
Business Studies -> Countries -> Geography,38
Science -> Geography -> Science -> Geography,38
Everyday life -> Science -> < -> Science,37
Everyday life -> Countries -> Citizenship,37
Everyday life -> Geography -> History,37
Science -> Geography -> Countries -> Everyday life,37
IT -> Countries -> Geography,37
Science -> People,37
Geography -> Countries -> Religion,36
Design and Technology -> Countries -> Science,35
Citizenship -> Geography -> Science,35
Citizenship -> Geography,35
Geography -> History -> Science,35
Music -> Countries -> Geography,35
Science -> Religion -> Countries -> History,35
Geography -> History -> Countries -> Geography,34
Science -> Geography -> Countries -> Citizenship,34
History -> Countries -> Geography -> Countries,34
Everyday life -> Geography -> Religion,34
Science -> Countries -> Geography -> Countries -> History,34
Language and literature -> Countries -> Geography -> Countries -> Science,34
Geography -> Countries -> Citizenship -> People,33
Science -> Countries -> Geography -> Science,33
Everyday life -> Countries -> Geography -> Countries -> Geography,33
Everyday life -> History,33
Science -> Geography -> Countries -> Citizenship -> People,33
Language and literature -> Geography -> Science,33
Science -> History -> Countries -> History,33
Countries -> Citizenship,32
Science -> History -> Design and Technology,32
Geography -> History -> Geography,32
History -> People,31
Geography -> Countries -> Business Studies,31
Countries -> People,31
Science -> Design and Technology -> Science,31
Science -> People -> Science,31
Geography -> Science -> < -> Science,30
Geography -> Citizenship,30
Science -> Music,30
Everyday life -> Geography -> Countries -> History,30
Everyday life -> Science -> Design and Technology,30
Countries -> Language and literature,30
Science -> Language and literature -> Countries,30
Everyday life -> Countries -> History -> People,30
Citizenship -> Countries -> Everyday life,30
Countries -> Citizenship -> Countries -> Geography,30
Mathematics -> Science,30
Science -> Geography -> Religion,29
Science -> Citizenship -> Science,29
Science -> Geography -> Citizenship,29
Countries -> History -> People,29
Everyday life -> Science -> Geography,29
Science -> Language and literature -> IT,29
People -> Science -> Everyday life -> Science,29
People -> Geography -> Religion,29
Language and literature -> People -> Science,29
Design and Technology -> History -> Everyday life,29
Science -> History -> Countries -> Geography,28
History -> Countries -> Everyday life,28
Everyday life -> Science -> People,28
Everyday life -> Countries -> Religion,28
History -> Countries -> People,28
Citizenship -> Countries -> Science,28
History -> Citizenship,28
Geography -> History -> People,28
Language and literature -> Geography,28
Geography -> Citizenship -> Geography,27
History -> Religion,27
Science -> Countries -> IT,27
Science -> History -> Countries,27
People -> Everyday life -> Science,27
Language and literature -> Science,27
People -> History -> Science,27
History -> Countries -> Geography -> Countries -> Geography,26
Geography -> Science -> Geography -> Science,26
Science -> Geography -> History -> People,26
Geography -> Language and literature -> Countries -> Geography,26
Science -> Geography -> Countries -> Science,26
Science -> Countries -> Language and literature,26
People -> History -> Countries -> Geography,26
People -> Countries -> Everyday life,26
Language and literature -> History,26
Citizenship -> History,26
People -> Countries -> Citizenship,26
People -> Countries -> Geography -> Countries -> Geography,26
Geography -> Countries -> Music,25
Countries -> Citizenship -> Countries,25
Religion -> Countries -> Geography,25
Geography -> Citizenship -> Countries -> Geography,25
IT,25
Science -> Language and literature -> Design and Technology,25
History -> Countries -> Citizenship,25
Language and literature -> Countries,25
Design and Technology -> Geography -> Countries,25
People -> Geography -> History,25
Geography -> Design and Technology,24
Design and Technology -> Countries -> History,24
Religion -> Geography,24
People -> Religion -> Science,24
Countries -> Citizenship -> People,24
Everyday life -> Geography -> Countries -> People,24
People -> Religion,24
Science -> Mathematics,24
Science -> Geography -> Design and Technology,24
Science -> Countries -> Business Studies,24
Science -> Language and literature -> Countries -> History,24
History -> Geography -> History,23
Science -> People -> Countries -> Geography,23
Design and Technology -> Countries -> IT,23
Science -> Countries -> Music,23
People -> History -> Countries,23
Business Studies -> Countries,23
Everyday life -> Geography -> Everyday life,23
Science -> History -> Religion,23
Countries -> History -> Science,23
Science -> History -> Science,22
Religion -> Geography -> Countries -> Geography,22
Everyday life -> Countries -> Citizenship -> People,22
Countries -> Geography -> History,22
Design and Technology -> Geography -> Everyday life,22
Citizenship -> Geography -> Countries -> Geography,22
Design and Technology -> Countries,21
Design and Technology -> Countries -> Geography -> Science,21
Everyday life -> History -> People,21
History -> Countries -> Religion,21
Countries -> Geography -> Countries -> History,21
People -> Countries -> People,21
Geography -> People,21
Geography -> Countries -> IT,21
Science -> History -> Geography -> History,21
Science -> People -> Geography,21
Citizenship -> Everyday life -> Science,21
Everyday life -> Countries -> Design and Technology,21
Citizenship,21
Science -> Everyday life -> Geography,21
Design and Technology -> Geography,21
Language and literature -> Countries -> History,21
Geography -> Countries -> Geography -> Everyday life,21
Language and literature -> Countries -> Geography -> Science -> < -> Science,21
History -> Everyday life -> Science,20
Religion -> Countries,20
Mathematics -> Everyday life -> Science,20
Science -> < -> Science -> < -> Science,20
Science -> Countries -> Geography -> Design and Technology,20
Everyday life -> Countries -> Business Studies,20
Countries -> Everyday life -> Science,20
People -> Science -> Geography,20
Religion -> Geography -> Countries,20
Geography -> Countries -> Citizenship -> History,20
Geography -> Science -> Geography -> Countries,20
Countries -> Religion,20
Science -> Everyday life -> Science -> Everyday life,20
Citizenship -> Countries -> Geography -> Countries,20
Business Studies -> Science,20
Citizenship -> Countries -> Geography -> Science,20
Science -> Language and literature,20
Geography -> Countries -> Geography -> History,19
Science -> Design and Technology -> IT,19
Everyday life -> Citizenship -> History,19
Everyday life -> Business Studies,19
History -> Countries -> Citizenship -> People,19
Everyday life -> History -> Science,19
Science -> Geography -> Countries -> History -> People,19
Science -> Geography -> Countries -> Language and literature,19
People -> Countries -> IT,19
Religion -> History,19
Science -> Language and literature -> History,19
Geography -> History -> Countries,19
Science -> Countries -> History -> Countries,19
People -> Citizenship -> People,19
Music -> Science,19
Music -> Countries -> Science,19
Geography -> Language and literature,19
Music -> Geography -> Science,19
Music -> Countries,19
Science -> Geography -> Science -> Everyday life,19
People -> Countries -> Citizenship -> People,19
Geography -> Music,18
Geography -> Countries -> Citizenship -> Countries,18
Science -> Language and literature -> Countries -> People,18
Science -> Everyday life -> Science -> < -> Science,18
Science -> Language and literature -> Religion,18
Countries -> Citizenship -> Science,18
Countries -> Business Studies -> Science,18
Science -> People -> Countries -> People,18
Science -> Countries -> Geography -> History,18
Citizenship -> Countries -> Citizenship,18
Design and Technology -> Countries -> Geography -> Countries -> Geography,18
People -> Citizenship,18
Citizenship -> Geography -> Countries,18
Language and literature -> Geography -> Countries -> Geography,18
Science -> Countries -> History -> Countries -> Geography,18
Everyday life -> Geography -> Countries -> Citizenship,18
Everyday life -> Design and Technology -> Science,18
Science -> Geography -> Countries -> Religion,17
Science -> Geography -> Science -> < -> Science,17
People -> Geography -> Countries -> History,17
Everyday life -> Geography -> Countries -> Everyday life,17
Everyday life -> Science -> Everyday life -> Science,17
Religion -> Geography -> Science,17
Citizenship -> People -> Science,17
Science -> Religion -> History,17
Geography -> Countries -> Geography -> Design and Technology,17
Science -> Countries -> Citizenship -> Countries -> Geography,17
Everyday life -> Geography -> Science -> Geography,17
Citizenship -> Countries -> Geography -> Countries -> Geography,17
People -> History -> People,17
People -> Geography -> Everyday life,17
Science -> History -> Geography -> Countries -> History,17
People -> History -> Geography,17
Geography -> Countries -> People -> History,16
Science -> Citizenship -> Countries -> Geography,16
Science -> Countries -> Everyday life -> People,16
Religion -> History -> People,16
People -> Countries -> Citizenship -> Countries,16
Art -> Science -> Everyday life,16
Business Studies -> Countries -> Geography -> Countries,16
Business Studies -> Geography,16
Countries -> Business Studies,16
Everyday life -> Geography -> Science -> Design and Technology,16
People -> Religion -> People,16
Citizenship -> Countries -> History,16
Geography -> Countries -> Everyday life -> People,16
Language and literature -> Countries -> Geography -> Countries,16
People -> Geography -> Design and Technology,16
Geography -> Business Studies -> Science,15
