Category Path,Count
Science,1366
Geography,683
Everyday life,528
People,527
Science -> Science,506
History,385
Countries,339
Design and Technology,319
Language and literature,312
Citizenship,208
Science -> Science -> Science,207
Religion,159
Geography -> Geography,152
IT,143
Geography -> Countries,121
Science -> Science -> Science -> Science,102
Language and literature -> Countries,97
Design and Technology -> Countries,93
Science -> Geography,92
Science -> Countries,92
Music,85
Everyday life -> Countries,82
Science -> Science -> <,79
Everyday life -> Everyday life,71
History -> Countries,68
History -> History,66
Business Studies,65
People -> Countries,63
Everyday life -> Geography,62
People -> Geography,56
Everyday life -> Science,56
History -> Geography,55
Mathematics,52
Science -> Science -> Science -> Science -> Science,46
Geography -> Geography -> Geography,45
Geography -> Geography -> Countries,44
Language and literature -> Language and literature,44
Countries -> Countries,42
Science -> Everyday life,42
Science -> Geography -> Countries,41
Design and Technology -> Countries -> Everyday life -> Everyday life,41
Design and Technology -> Geography,40
Science -> IT,40
IT -> IT,39
Geography -> Science,38
Countries -> Geography,37
Religion -> Religion,37
Art,36
Language and literature -> Countries -> Geography,36
Citizenship -> Citizenship,35
Science -> History,33
Science -> Science -> Geography,33
Science -> IT -> IT,33
Design and Technology -> History,32
Science -> People,31
Design and Technology -> Science,31
Science -> Geography -> Geography,31
Geography -> Geography -> Geography -> Geography,30
Geography -> History,30
Geography -> Citizenship,29
Geography -> Countries -> Geography,28
Science -> Science -> Science -> Science -> Science -> Science,27
Science -> Countries -> Geography,26
Everyday life -> Countries -> Geography,25
People -> History,25
Everyday life -> Science -> Science,24
Science -> Science -> Countries,23
Design and Technology -> Countries -> Geography,23
History -> Countries -> Geography,22
Citizenship -> Countries,22
Everyday life -> Language and literature,22
Countries -> Citizenship,22
Countries -> History,21
Science -> IT -> IT -> Science,21
Design and Technology -> Countries -> Music,21
People -> Countries -> Geography,21
Language and literature -> Geography,21
Science -> Countries -> Countries,20
Design and Technology -> Design and Technology,20
Science -> Science -> Everyday life,20
Citizenship -> Countries -> Geography,19
Science -> Religion,19
Everyday life -> History,19
IT -> IT -> IT,19
